'jian'qiao'bei	建桥杯	011124.129632.121324	51111254.1234313432.12341324
'yi'shi	弈史	66132.8034	413234132.25134
'yi'qiu	弈秋	66132.9269	413234132.312344334
'yi'cheng	弈程	66132.928011	413234132.312342511121
'zhai'fu	斋斧	661322.343432	4134132522.34343312
'yi'chu	奕出	66134.02	413234134.52252
'liu'yun'long	刘云龙	6622.1154.13534	413422.1154.13534
'liu'yun'feng	刘云峰	6622.1154.209071	413422.1154.2523541112
'liu'di'huai	刘棣怀	6622.120124.491324	413422.123451124134.4421324
'liu'nan'kui	刘南奎	6622.122542.134199	413422.122543112.134121121
'liu'song	刘松	6622.123454	413422.12343454
'liu'qian'li	刘乾利	6622.128115.9222	413422.12251112315.3123422
'liu'qi'lan	刘奇兰	6622.134182.431	413422.13412512.43111
'liu'shuo	刘硕	6622.141328	413422.13251132534
'liu'jing	刘菁	6622.177121	413422.12211212511
'liu'shi'zhen	刘世振	6622.185.101314	413422.12215.1211311534
'liu'zhi'qiang	刘志强	6622.1965.578026	413422.1214544.515251251214
'liu'xiao'guang	刘小光	6622.234.24135	413422.234.243135
'liu'guo'zheng	刘国正	6622.251141.121	413422.25112141.12121
'liu'guo'dong	刘国栋	6622.251141.121524	413422.25112141.123415234
'liu'guo'liang	刘国梁	6622.251141.445342	413422.25112141.44153441234
'liu'fan	刘帆	6622.25354	413422.252354
'liu'wei	刘伟	6622.321152	413422.321152
'liu'jia	刘佳	6622.321919	413422.32121121
'liu'zhong'fu	刘仲甫	6622.32802.125114	413422.322512.1251124
'liu'tong	刘彤	6622.354133	413422.3541333
'liu'peng	刘鹏	6622.363699	413422.3511351135451
'liu'yu'xin	刘禹欣	6622.380254.331234	413422.325125214.33123534
'liu'shi'wen	刘诗雯	6622.401914.1666	413422.45121124.145244444134
'liu'shan'cheng	刘善承	6622.431240.581154	413422.431112431251.52111534
'liu'quan	刘拳	6622.4367	413422.4311343112
'liu'tao	刘涛	6622.447314	413422.4411113124
'liu'jun	刘军	6622.4577	413422.451512
'liu'yu	刘宇	6622.46112	413422.445112
'liu'kang'yi	刘康毅	6622.470124.613534	413422.41351124134.414313533343554
'liu'heng	刘恒	6622.491811	413422.442125111
'liu'li	刘力	6622.53	413422.53
'liu'juan	刘娟	6622.598021	413422.5312512511
'liu'xi	刘熙	6622.725159	413422.12251255154444
'liu'yi'yi	刘轶一	6622.773114.1	413422.152131134.1
'liu'yi'si'han'mi'er'dun	刘易斯汉密尔顿	6622.813533.703312.4454.466520.35234.152518	413422.25113533.122111343312.44154.44545434252.35234.1525132534
'liu'xing	刘星	6622.81371	413422.251131121
'liu'xi	刘曦	6622.814314	413422.25114311213123415534
'liu'chang'he	刘昌赫	6622.8181.193234	413422.25112511.12132341213234
'liu'si'ming	刘思明	6622.8365.8136	413422.251214544.25113511
'liu'jun	刘钧	6622.913541	413422.311153541
'liu'kun'peng	刘鲲鹏	6622.988115.363699	413422.3525121125111535.3511351135451
'qi'bu'er'ke'wa	齐布尔科娃	6632.1325.35234.924412.591919	413432.13252.35234.312344412.531121121
'qi'bao'xiang	齐宝香	6632.46114.9281	413432.44511214.312342511
'qi'mo'er'man	齐默尔曼	6632.861344.35234.818454	413432.2543121144441344.35234.25112522154
'qi'lu'qing'wei'liao	齐鲁青未了	6632.9881.712511.112.52	413432.352512112511.11212511.11234.52
'qi'lu'lian'meng	齐鲁联盟	6632.9881.724334.813684	413432.352512112511.122111431134.2511351125221
'qi'lu'wan'bao'qi'yuan	齐鲁晚报棋院	6632.9881.813585.105254.1270.524615	413432.352512112511.25113525135.1215254.123412211134.524451135
'qi'lu'wan'bao'qi'yuan'dui	齐鲁晚报棋院队	6632.9881.813585.105254.1270.524615.5234	413432.352512112511.25113525135.1215254.123412211134.524451135.5234
'jiao'huan	交换	6634.103524	413434.1213525134
'jiao'huan'fa'qiu'qu	交换发球区	6634.103524.53544.111244.1345	413434.1213525134.53544.11211241344.1345
'jiao'jie	交接	6634.106159	413434.12141431531
'jiao'gu	交股	6634.363554	413434.35113554
'jiao'cha	交叉	6634.544	413434.544
'jiao'cha'bu	交叉步	6634.544.21233	413434.544.2121233
'jiao'cha'dian	交叉点	6634.544.218069	413434.544.212514444
'jiao'shou	交手	6634.67	413434.3112
'xiao'lv'kuang'mo	效率狂魔	663490.415642.3811.471215	4134343134.41554413412.3531121.41312341234325113554
'ji'mu	迹目	66454.82	413234454.25111
'zhe'zhong'bu'fa	这种步法	66464.92802.21233.441954	4134454.312342512.2121233.44112154
'bian'xing'fang'si'xing	变形方四形	6654.113233.60.84.113233	41223454.1132333.4153.25351.1132333
'bian'xiang'zhong'guo'liu	变相中国流	6654.1282.802.251141.444155	41223454.123425111.2512.25112141.4414154325
'bian'su'qiu	变速球	6654.180234.111244	41223454.1251234454.11211241344
'bian'su'xiang	变速箱	6654.180234.371282	41223454.1251234454.314314123425111
'bian'hua	变化	6654.3235	41223454.3235
'bian'hua'tu	变化图	6654.3235.259041	41223454.3235.25354441
'bian'zhe	变着	6654.4382	41223454.43111325111
'wan'san	弯三	6657.111	412234515.111
'wan'gong'she'hu	弯弓射虎	6657.57.95124.8735	412234515.515.3251113124.21531535
'lian'zi	恋子	6665.58	4122344544.521
'shou'bi'lu	手臂录	67.072511.012414	3112.51325141431122511.51124134
'shou'pi'shi'ba'ju	手批十八局	67.101535.12.34.07580	3112.1211535.12.34.5135251
'shou'shi	手势	67.103543	3112.12135453
'shou'hui'pi'pa	手挥琵琶	67.104577.111115.111155	3112.121451512.112111211535.112111215215
'qi'gong'jia	气功家	67.12153.4613	3115.12153.4451353334
'qi'gong'jie	气功界	67.12153.833432	3115.12153.251213432
'qi'ji	气机	67.1235	3115.123435
'qi'shu	气术	67.124	3115.12344
'shou'qiao	手桥	67.129632	3112.1234313432
'shou'gan	手感	67.131805	3112.1312515344544
'qi'yu'li'he	气与力合	67.151.53.92	3115.151.53.341251
'shou'dao'yan'dao	手到眼到	67.154192.8203.154192	3112.15412122.25111511534.15412122
'qi'chang	气场	67.19533	3115.121533
'mao'rui'long	毛睿龙	67.214512.13534	3115.21451343425111.13534
'qi'jin	气紧	67.225454	3115.2254554234
'qi'gui'yuan'hai	气归元海	67.2301.1135.443106	3115.23511.1135.4413155414
'qi'gu	气蛊	67.2684	3115.25121425221
'qi'chang	气长	67.3154	3115.3154
'mao'jia'jun	毛佳君	67.321919.01380	3115.32121121.5113251
'shou'jiao	手胶	67.366634	3112.3511413434
'qi'xiang	气箱	67.371282	3115.314314123425111
'shou'jin	手筋	67.373653	3112.314314351153
'qi'xue	气血	67.384	3115.325221
'shou'ping'shi'ba'ju	手评十八局	67.401432.12.34.07580	3112.4514312.12.34.5135251
'shou'tan	手谈	67.406969	3112.4543344334
'qi'fa	气法	67.441954	3115.44112154
'shou'fa	手法	67.441954	3112.44112154
'qi'chen'dan'tian	气沉丹田	67.444535.3541.83	3115.4414535.3541.25121
'qi'xue	气穴	67.4634	3115.44534
'shou'ge	手割	67.467182	3112.445111225122
'shou'ge'fen'xi	手割分析	67.467182.3453.123312	3112.445111225122.3453.12343312
'shou'dao	手刀	67.53	3112.53
'shou'xin'xiang'nei	手心向内	67.65.32580.2534	3112.4544.325251.2534
'qi'shu	气数	67.685990	3115.4312345313134
'shou'shu	手数	67.685990	3112.4312345313134
'shou'zhong'qiu	手中球	67.802.111244	3112.2512.11211241344
'mao'yu'heng	毛昱衡	67.8161.333582	3115.251141431.3323525121134112
'shou'yan'xiang'sui	手眼相随	67.8203.1282.521324	3112.25111511534.123425111.52132511454
'shou'yue	手钺	67.911554	3112.3111515534
'qi'he	气合	67.92	3115.341251
'qi'gang	气缸	67.94121	3115.311252121
'qi'duan	气短	67.941801	3115.311341251431
'shou'duan	手段	67.973554	3112.321113554
'mi'de'er'dun	米德尔顿	68.331285.35234.152518	431234.332122522114544.35234.1525132534
'mi'er'zha	米尔扎	68.35234.105	431234.35234.1215
'mi'er'sa'pu	米尔萨普	68.35234.175263.431221	431234.35234.12252414313.431224312511
'mi'er'si	米尔斯	68.35234.703312	431234.35234.122111343312
'mi'jia'er	米迦尔	68.538044.35234	431234.53251454.35234
'mi'qi'lin	米其林	68.70.1212	431234.12211134.12341234
'mi'luo'di'qi	米罗蒂奇	68.8490.176125.134182	431234.25221354.122414345252.13412512
'zhan'pai	粘拍	682180.10381	43123421251.12132511
'fen'qiao	粉巧	683453.12115	4312343453.12115
'mi'zong'yi	迷踪艺	68454.294614.175	431234454.251212144511234.1225
'mi'lu'quan	迷路拳	68454.299080.4367	431234454.2512121354251.4311343112
'duan'da	断打	685332.1012	43123453312.12112
'duan'diao	断掉	685332.102182	43123453312.12121251112
'duan'xia	断下	685332.124	43123453312.124
'duan'huo'zheng'zhen	断惑证真	685332.180155.40121.122734	43123453312.125115344544.4512121.1225111134
'duan'dian	断点	685332.218069	43123453312.212514444
'duan'ru	断入	685332.34	43123453312.34
'duan'tou'qu'si	断头曲四	685332.44134.25171.84	43123453312.44134.251221.25351
'duan'tou'dou'fang	断头斗方	685332.44134.4412.60	43123453312.44134.4412.4153
'duan'tou'liu	断头六	685332.44134.66	43123453312.44134.4134
'duan'huo'qi	断活棋	685332.4496.1270	43123453312.441312251.123412211134
'duan'yuan	断缘	685332.555513	43123453312.551551353334
'duan'shou'shu'yao	断手述要	685332.67.124454.7459	43123453312.3112.12344454.125221531
'duan'chi	断吃	685332.80315	43123453312.251315
'duan'na'bian'chi'na'bian	断哪边吃哪边	685332.805112.53454.80315.805112.53454	43123453312.251511352.53454.251315.251511352.53454
'lou'cheng	娄逞	6859.801144	431234531.2511121454
'shu'qi	数棋	685990.1270	4312345313134.123412211134
'shu'kong	数空	685990.463411	4312345313134.44534121
'shu'zi	数子	685990.58	4312345313134.521
'shu'zi'fa	数子法	685990.58.441954	4312345313134.521.44112154
'shu'mu	数目	685990.82	4312345313134.25111
'jing'li	精理	687121.118121	43123411212511.11212511211
'jing'ying'sai	精英赛	687121.172514.467638	43123411212511.12225134.44511221342534
'jing'hua'yi'jie'duo'kan'qi	精华已竭多堪弃	687121.323512.515.618135.9090.19705.415412	43123411212511.323512.515.41431251135345.354354.121122111345.4154132
'jing'ci'wei'qi	精瓷围棋	687121.413539.251151.1270	43123411212511.4135341554.2511521.123412211134
'jing'qi'shen	精气神	687121.67.6283	43123411212511.3115.452425112
'jing'rui	精锐	687121.914385	43123411212511.311154325135
'huo'qiang'shou'bei	火枪手杯	69.123455.67.121324	4334.12343455.3112.12341324
'huo'long'quan	火龙拳	69.13534.4367	4334.13534.4311343112
'huo'jian	火箭	69.374312	4334.314314431251122
'huo'jian'xiao'zi	火箭小子	69.374312.234.58	4334.314314431251122.234.521
'lian'gong	炼功	691554.12153	433415534.12153
'lian'jin	炼津	691554.440112	433415534.441511112
'lian'ni	炼溺	691554.445741	433415534.4415154151541
'lian'shen'hai'xu	炼神还虚	691554.6283.132444.8722	433415534.452425112.1324454.21531522431
'lian'qi'hua'shen	炼气化神	691554.67.3235.6283	433415534.3115.3235.452425112
'lian'jing'hua'qi	炼精化气	691554.687121.3235.67	433415534.43123411212511.3235.3115
'pao'chui	炮捶	693555.103121	433435515.12131212211
'pao'quan	炮拳	693555.4367	433435515.4311343112
'lan'ke	烂柯	69431.121802	433443111.123412512
'lan'ke'bei	烂柯杯	69431.121802.121324	433443111.123412512.12341324
'lan'ke'shi	烂柯石	69431.121802.14	433443111.123412512.13251
'lan'ke'sui'yue'dao'bing'jian	烂柯岁月刀兵见	69431.121802.2090.36.53.321214.2535	433443111.123412512.252354.3511.53.3212134.2535
'lan'ke'ren'qu'shou'can'ju	烂柯人去收残局	69431.121802.34.1954.5290.131154.07580	433443111.123412512.34.12154.523134.135411534.5135251
'lan'qi	烂棋	69431.1270	433443111.123412211134
'bao'chong	爆冲	698114.41802	4334251112213424134.412512
'bao'man	爆满	698114.441714	4334251112213424134.4411221253434
'bao'fa'li	爆发力	698114.53544.53	4334251112213424134.53544.53
'bao'gang	爆缸	698114.94121	4334251112213424134.311252121
'qi'ta'qiu'yuan	其他球员	70.32525.111244.8028	12211134.32525.11211241344.2512534
'qi'ta'wen'ti	其他问题	70.32525.4280.811218	12211134.32525.425251.251112134132534
'qi'zhi'ze'wei	其职责为	70.728034.7128.4354	12211134.12211125134.11212534.4354
'qi'suo	碁所	7014.335132	1221113413251.33513312
'qi'sheng	碁圣	7014.5419	1221113413251.54121
'ji'ben'xing	基本形	7019.121.113233	12211134121.12341.1132333
'ji'ben'xian	基本线	7019.121.551154	12211134121.12341.55111534
'ji'zhuan	基砖	7019.141154	12211134121.132511154
'ji'er'pa'te'li'ke	基尔帕特里克	7019.35234.25381.311914.81211.128035	12211134121.35234.25232511.3121121124.2511211.1225135
'ji'li'lian'ke	基里连科	7019.81211.77454.924412	12211134121.2511211.1512454.312344412
'si'tuo'se	斯托瑟	703312.10315.111165	122111343312.121315.1121112145434
'si'zha'ba'duo'si	斯扎巴多斯	703312.105.5215.9090.703312	122111343312.1215.5215.354354.122111343312
'si'ma'te	斯玛特	703312.1150.311914	122111343312.1121551.3121121124
'si'wei'si'lin'bei	斯韦思林杯	703312.1152.8365.1212.121324	122111343312.1152.251214544.12341234.12341324
'si'qi'wan'ke	斯奇万克	703312.134182.153.128035	122111343312.13412512.153.1225135
'si'di'fu	斯蒂夫	703312.176125.1134	122111343312.122414345252.1134
'si'di'fu	斯蒂芙	703312.176125.171134	122111343312.122414345252.1221134
'si'di'fen	斯蒂芬	703312.176125.173453	122111343312.122414345252.1223453
'si'di'fen'nuo'wa	斯蒂芬诺娃	703312.176125.173453.401710.591919	122111343312.122414345252.1223453.4512213251.531121121
'si'di'fen'ku'li	斯蒂芬库里	703312.176125.173453.4777.81211	122111343312.122414345252.1223453.4131512.2511211
'si'di'ka	斯蒂卡	703312.176125.21124	122111343312.122414345252.21124
'si'ta'huo'fu'si'ji	斯塔霍夫斯基	703312.191792.163241.1134.703312.7019	122111343312.121122341251.1452444432411121.1134.122111343312.12211134121
'si'ta'lei'si	斯塔雷斯	703312.191792.1683.703312	122111343312.121122341251.1452444425121.122111343312
'si'tan'li	斯坦利	703312.19811.9222	122111343312.12125111.3123422
'si'nei'er	斯内尔	703312.2534.35234	122111343312.2534.35234
'si'pa	斯帕	703312.25381	122111343312.25232511
'si'pa'sai'dao	斯帕赛道	703312.25381.467638.431384	122111343312.25232511.44511221342534.431325111454
'si'tu'er'te	斯图尔特	703312.259041.35234.311914	122111343312.25354441.35234.3121121124
'si'bei'ci	斯贝茨	703312.28.174134	122111343312.2534.122413534
'si'te	斯特	703312.311914	122111343312.3121121124
'si'te'la'si'bao'guo'ji'sai	斯特拉斯堡国际赛	703312.311914.1061.703312.328019.251141.521124.467638	122111343312.3121121124.12141431.122111343312.322511234121.25112141.5211234.44511221342534
'si'te'ge	斯特格	703312.311914.129080	122111343312.3121121124.1234354251
'si'te'en	斯特恩	703312.311914.251345	122111343312.3121121124.2513414544
'si'te'li'ke'wa	斯特里科娃	703312.311914.81211.924412.591919	122111343312.3121121124.2511211.312344412.531121121
'si'de'ge'er'mo'gong'kai'sai	斯德哥尔摩公开赛	703312.331285.180212.35234.471217.3454.1132.467638	122111343312.332122522114544.1251212512.35234.413123412343112.3454.1132.44511221342534
'si'pu'lai'mu	斯普莱姆	703312.431221.17168.5906	122111343312.431224312511.1221431234.53155414
'si'pu'li'te	斯普利特	703312.431221.9222.311914	122111343312.431224312511.3123422.3121121124
'si'bin'sai	斯宾塞	703312.463214.467639	122111343312.4453212134.4451122134121
'si'tao'si'ka'si	斯陶斯卡斯	703312.523594.703312.21124.703312	122111343312.5235311252.122111343312.21124.122111343312
'si'qi'ya'wo'ni	斯齐亚沃尼	703312.6632.122.4496.0735	122111343312.413432.122431.4413134.51335
'si'mi'er'nuo'fu	斯米尔诺夫	703312.68.35234.401710.1134	122111343312.431234.35234.4512213251.1134
'si'tai'pan'nei'ke	斯泰潘内克	703312.732414.443683.2534.128035	122111343312.1113424134.441343123425121.2534.1225135
'si'ke'te	斯科特	703312.924412.311914	122111343312.312344412.3121121124
'qi'zhe	欺着	703534.4382	122111343534.43111325111
'feng'yun	丰云	71.1154	1112.1154
'feng'tian	丰田	71.83	1112.25121
'feng'tian'bei	丰田杯	71.83.121324	1112.25121.12341324
'qing'mu'xi'jiu'dai	青木喜久代	712511.12.1980.354.32154	11212511.1234.121251431251.354.32154
'qing'bang	青棒	712511.127312	11212511.123411134112
'qing'bang'lian'meng	青棒联盟	712511.127312.724334.813684	11212511.123411134112.122111431134.2511351125221
'qing'long'chu'shui	青龙出水	712511.13534.02.2534	11212511.13534.52252.2534
'qing'long'bai'wei	青龙摆尾	712511.13534.108414.0767	11212511.13534.1212522112154.5133115
'qing'long'jian	青龙剑	712511.13534.341642	11212511.13534.341443122
'qing'ping'jian	青萍剑	712511.174412.341642	11212511.12244114312.341443122
'qing'cao'qi'you'hui	青草棋友会	712511.178112.1270.1354.341154	11212511.122251112.123412211134.1354.341154
'qing'feng'jian	青峰剑	712511.209071.341642	11212511.2523541112.341443122
'qing'shao'nian'bang'qiu'lian'sai	青少年棒球联赛	712511.2343.311212.127312.111244.724334.467638	11212511.2343.311212.123411134112.11211241344.122111431134.44511221342534
'qing'qing'chi'tang'chu'chu'wa	青青池塘处处蛙	712511.712511.44525.194700.9024.9024.261919	11212511.11212511.441525.1214135112251.35424.35424.251214121121
'qing'ya	青牙	712511.79	11212511.1523
'jing'gong	静功	712512.12153	11212511355112.12153
'jing'er'sheng'hui	静而生慧	712512.132522.371.717105	11212511355112.132522.31121.111211125114544
'ze'ren'ju'shu	责任局数	7128.32319.07580.685990	11212534.323121.5135251.4312345313134
'biao'yan'sai	表演赛	713534.444614.467638	11213534.44144512512134.44511221342534
'su'wen	素问	715624.4280	1121554234.425251
'hui'er'bu'yong	慧而不用	717105.132522.1324.35112	111211125114544.132522.1324.35112
'geng'yu	耕余	7176.34112	1112341132.3411234
'geng'yu'sheng'ji	耕余剩技	7176.34112.312212.101254	1112341132.3411234.312211353422.1211254
'mai'ke'lai'lun	麦克莱伦	7190.128035.17168.323435	1121354.1225135.1221431234.323435
'mai'ke'lai'mo	麦克莱默	7190.128035.17168.861344	1121354.1225135.1221431234.2543121144441344
'mai'ke'luo'bo'ci	麦克罗伯茨	7190.128035.8490.32381.174134	1121354.1225135.25221354.3232511.122413534
'mai'ge'lu'de	麦格鲁德	7190.129080.9881.331285	1121354.1234354251.352512112511.332122522114544
'mai'kao	麦考	7190.19315	1121354.121315
'mai'xin'bei	麦馨杯	7190.195211.121324	1121354.12152133554312342511.12341324
'mai'ka'du	麦卡杜	7190.21124.1219	1121354.21124.1234121
'mai'ka'luo	麦卡洛	7190.21124.449080	1121354.21124.441354251
'mai'ken'luo	麦肯罗	7190.212511.8490	1121354.21212511.25221354
'mai'le'le	麦乐乐	7190.35234.35234	1121354.35234.35234
'mai'kang'nai'er	麦康奈尔	7190.470124.134114.35234	1121354.41351124134.13411234.35234
'mai'na'mai'guo'ji'sai'che'chang	麦纳麦国际赛车场	7190.552534.7190.251141.521124.467638.77.19533	1121354.5512534.1121354.25112141.5211234.44511221342534.1512.121533
'mai'ji	麦基	7190.7019	1121354.12211134121
'mai'di'xun'guang'chang'hua'yuan	麦迪逊广场花园	7190.83454.582344.47.19533.173235.251131	1121354.25121454.521234454.413.121533.1223235.2511351
'er'chi'de'yi'shou	耳赤的一手	72.193234.381354.1.67	122111.1213234.32511354.1.3112
'er'chi'zhi'miao'shou	耳赤之妙手	72.193234.454.592343.67	122111.1213234.454.5312343.3112
'wo'long'dao	卧龙刀	7224.13534.53	12512524.13534.53
'liao'tian'bang	聊天帮	723532.1134.735225	12211135352.1134.111352252
'lian'qi	联棋	724334.1270	122111431134.123412211134
'lian'sai	联赛	724334.467638	122111431134.44511221342534
'lian'bang'yin'hang'guan'jun'jin'biao'sai	联邦银行冠军锦标赛	724334.7352.9103.33112.451134.4577.913815.121124.467638	122111431134.111352.31115511534.332112.451135124.451512.3111532511252.123411234.44511221342534
'lian'he'guo'er'tong'ji'jin'hui'gong'kai'sai	联合国儿童基金会公开赛	724334.92.251141.35.618121.7019.91.341154.3454.1132.467638	122111431134.341251.25112141.35.414312511211.12211134121.34112431.341154.3454.1132.44511221342534
'lian'he'hui'bei	联合会杯	724334.92.341154.121324	122111431134.341251.341154.12341324
'lian'he'hui'bei'shi'jie'zu'di'yi'lun	联合会杯世界组第一轮	724334.92.341154.121324.185.833432.5527.375723.1.773435	122111431134.341251.341154.12341324.12215.251213432.55125111.31431451523.1.15213435
'lian'he'hui'bei'shi'jie'zu'jue'sai	联合会杯世界组决赛	724334.92.341154.121324.185.833432.5527.415134.467638	122111431134.341251.341154.12341324.12215.251213432.55125111.415134.44511221342534
'lian'he'hui'bei'shi'jie'zu'ban'jue'sai	联合会杯世界组半决赛	724334.92.341154.121324.185.833432.5527.432.415134.467638	122111431134.341251.341154.12341324.12215.251213432.55125111.43112.415134.44511221342534
'lian'he'hui'bei'tuan'ti'sai	联合会杯团体赛	724334.92.341154.121324.251231.32121.467638	122111431134.341251.341154.12341324.251231.3212341.44511221342534
'ye'lu'da'xue'bai'le'bi'sai	耶鲁大学百乐笔赛	7252.9881.134.6458.1381.35234.3767.467638	12211152.352512112511.134.44345521.132511.35234.3143143115.44511221342534
'qu'jue'quan	取决权	7254.415134.1254	12211154.415134.123454
'qu'xiao'bi'sai'zi'ge	取消比赛资格	7254.442421.1535.467638.413538.129080	12211154.4412432511.1535.44511221342534.4135342534.1234354251
'qu'wai'qi'fa	取外气法	7254.9024.67.441954	12211154.35424.3115.44112154
'ju'wu	聚五	725434.1251	12211154323334.1251
'ju'jian	聚歼	725434.13312	12211154323334.1354312
'ju'cheng	聚成	725434.135534	12211154323334.135534
'ju'qi	聚七	725434.15	12211154323334.15
'ju'ze'cheng'xing	聚则成形	725434.2822.135534.113233	12211154323334.253422.135534.1132333
'ju'jin'sheng'jing	聚津生精	725434.440112.371.687121	12211154323334.441511112.31121.43123411212511
'ju'liu	聚六	725434.66	12211154323334.4134
'ju'si	聚四	725434.84	12211154323334.25351
'nie'dao	聂道	725454.431384	1221115454.431325111454
'nie'jia'jun	聂家军	725454.4613.4577	1221115454.4451353334.451512
'nie'ma	聂马	725454.50	1221115454.551
'nie'ma'chang	聂马常	725454.50.248025	1221115454.551.24345251252
'nie'ma'chang'gu	聂马常古	725454.50.248025.1280	1221115454.551.24345251252.12251
'nie'wei'ping	聂卫平	725454.521.14312	1221115454.521.14312
'geng'li'juan	耿丽娟	7269.125424.598021	1221114334.1254254.5312512511
'geng'wen'bin	耿文彬	7269.66.121233	1221114334.4134.12341234333
'zhi'bang'da'lian'meng	职棒大联盟	728034.127312.134.724334.813684	12211125134.123411134112.134.122111431134.2511351125221
'zhi'ye'qi'shou	职业棋手	728034.22.1270.67	12211125134.22431.123412211134.3112
'zhi'ye'bang'qiu	职业棒球	728034.22.127312.111244	12211125134.22431.123411134112.11211241344
'zhi'ye'bang'qiu'da'lian'meng	职业棒球大联盟	728034.22.127312.111244.134.724334.813684	12211125134.22431.123411134112.11211241344.134.122111431134.2511351125221
'zhi'ye'bang'qiu'de	职业棒球的	728034.22.127312.111244.381354	12211125134.22431.123411134112.11211241344.32511354
'zhi'ye'sheng'ya	职业生涯	728034.22.371.441319	12211125134.22431.31121.44113121121
'zhi'ye'sheng'ya'dian'feng'qi	职业生涯巅峰期	728034.22.371.441319.201228.209071.7036	12211125134.22431.31121.44113121121.2521225111134132534.2523541112.122111343511
'zhi'ye'quan'ji	职业拳击	728034.22.4367.1120	12211125134.22431.4311343112.11252
'zhi'ye'sai'shi	职业赛事	728034.22.467638.180012	12211125134.22431.44511221342534.12515112
'zhi'ye'tai'quan	职业泰拳	728034.22.732414.4367	12211125134.22431.1113424134.4311343112
'tai'sen	泰森	732414.121212	1113424134.123412341234
'tai'lao'sen	泰劳森	732414.174553.121212	1113424134.1224553.123412341234
'tai'le	泰勒	732414.1853	1113424134.12212511253
'tai'le'tuo'wei'qi	泰勒托维奇	732414.1853.10315.553241.134182	1113424134.12212511253.121315.55132411121.13412512
'tai'le'you'li'si	泰勒尤利斯	732414.1853.1354.9222.703312	1113424134.12212511253.1354.3123422.122111343312
'tai'le'en'ni'si	泰勒恩尼斯	732414.1853.251345.0735.703312	1113424134.12212511253.2513414544.51335.122111343312
'tai'le'ze'le	泰勒泽勒	732414.1853.445412.1853	1113424134.12212511253.44154112.12212511253
'tai'le'yue'han'xun	泰勒约翰逊	732414.1853.55354.128114.582344	1113424134.12212511253.551354.1225111234541541.521234454
'tai'guo'gong'kai'sai	泰国公开赛	732414.251141.3454.1132.467638	1113424134.25112141.3454.1132.44511221342534
'tai'er'si'qiong'si	泰尔斯琼斯	732414.35234.703312.114124.703312	1113424134.35234.122111343312.112141251234.122111343312
'tai'quan'wang	泰拳王	732414.4367.11	1113424134.4311343112.1121
'bang'da'lian'ke	邦达连科	7352.134454.77454.924412	111352.134454.1512454.312344412
'chun'lan'bei	春兰杯	7381.431.121324	111342511.43111.12341324
'chun'qiu'da'dao	春秋大刀	7381.9269.134.53	111342511.312344334.134.53
'qin'zhi'jian	秦志戬	7392.1965.122814	1113431234.1214544.12243125111534
'qin'gong'zi'dao'chang	秦公子道场	7392.3454.58.431384.19533	1113431234.3454.521.431325111454.121533
'qin'yue'xin	秦悦欣	7392.494385.331234	1113431234.4424325135.33123534
'qin'chi'yuan	秦驰远	7392.50525.113544	1113431234.551525.1135454
'xi'ban'ya'da'jiang'sai	西班牙大奖赛	74.114311.79.134.412904.467638	125351.1121431121.1523.134.412354134.44511221342534
'xi'ban'ya'jia'tai'luo'ni'ya'sai'dao	西班牙加泰罗尼亚赛道	74.114311.79.5380.732414.8490.0735.122.467638.431384	125351.1121431121.1523.53251.1113424134.25221354.51335.122431.44511221342534.431325111454
'xi'ya'ka'mu	西亚卡姆	74.122.21124.5906	125351.122431.21124.53155414
'xi'nan'wang'sai	西南王赛	74.122542.11.467638	125351.122543112.1121.44511221342534
'xi'nan'qu	西南区	74.122542.1345	125351.122543112.1345
'xi'nan'cai'tuan'da'shi'sai	西南财团大师赛	74.122542.28123.251231.134.23125.467638	125351.122543112.2534123.251231.134.231252.44511221342534
'xi'nan'cai'tuan'nv'zi'gong'kai'sai	西南财团女子公开赛	74.122542.28123.251231.59.58.3454.1132.467638	125351.122543112.2534123.251231.531.521.3454.1132.44511221342534
'xi'nan'yin'hang'bei	西南银行杯	74.122542.9103.33112.121324	125351.122543112.31115511534.332112.12341324
'xi'xia'bang	西夏帮	74.138290.735225	125351.1325111354.111352252
'xi'meng	西蒙	74.174513	125351.1224511353334
'xi'meng'zi	西蒙兹	74.174513.431566	125351.1224511353334.431554554
'xi'meng'si	西蒙斯	74.174513.703312	125351.1224511353334.122111343312
'xi'bei'qu	西北区	74.21135.1345	125351.21135.1345
'xi'bei'lang	西北狼	74.21135.38403	125351.21135.3534511534
'xi'cai	西财	74.28123	125351.2534123
'xi'cai'xing'zhi'xue'yuan	西财行知学院	74.28123.33112.9480.6458.524615	125351.2534123.332112.31134251.44345521.524451135
'xi'cai'xing'zhi'xue'yuan'dui	西财行知学院队	74.28123.33112.9480.6458.524615.5234	125351.2534123.332112.31134251.44345521.524451135.5234
'xi'liang'zhang	西凉掌	74.414124.248067	125351.4141251234.243452513112
'xi'pu'si	西普斯	74.431221.703312	125351.431224312511.122111343312
'xi'an'fu'ji	西安福基	74.4659.621803.7019	125351.445531.4524125125121.12211134121
'xi'an'fu'ji'dui	西安福基队	74.4659.621803.7019.5234	125351.445531.4524125125121.12211134121.5234
'xi'zi'lian'he'bei	西子联合杯	74.58.724334.92.121324	125351.521.122111431134.341251.12341324
