'jian'mo	建模	011124.121784	51111254.12341222511134
'jue'dui'dian'ya'jiang	绝对电压降	553555.54124.815.13194.529012	551355215.54124.25115.131214.52354152
'jue'yuan'zha	绝缘栅	553555.555513.123531	551355215.551551353334.123435351
'jue'yuan'gui	绝缘硅	553555.555513.141919	551355215.551551353334.13251121121
'jue'yuan'ti	绝缘体	553555.555513.32121	551355215.551551353334.3212341
'jue'yuan'zu'kang	绝缘阻抗	553555.555513.5227.104135	551355215.551551353334.5225111.1214135
'jue'yuan'dian'zu	绝缘电阻	553555.555513.815.5227	551355215.551551353334.25115.5225111
'jue'yuan'dian'zu'biao	绝缘电阻表	553555.555513.815.5227.713534	551355215.551551353334.25115.5225111.11213534
'huan'cun	缓存	553914.13258	551344311354.132521
'huan'cun'wen'jian	缓存文件	553914.13258.66.3231	551344311354.132521.4134.323112
'huan'chong'jie'he'guo'cheng	缓冲接合过程	553914.41802.106159.92.124454.928011	551344311354.412512.12141431531.341251.124454.312342511121
'huan'chong'cun'chu'qi	缓冲存储器	553914.41802.13258.324011.808010	551344311354.412512.132521.324512132511.2512511344251251
'huan'chong'qu	缓冲区	553914.41802.1345	551344311354.412512.1345
'huan'chong'qu'fen'pei	缓冲区分配	553914.41802.1345.3453.75515	551344311354.412512.1345.3453.1253511515
'huan'chong'qu'guan'li	缓冲区管理	553914.41802.1345.374621.118121	551344311354.412512.1345.31431444525151.11212511211
'huan'chong'qu'yu'fen'pei	缓冲区预分配	553914.41802.1345.541328.3453.75515	551344311354.412512.1345.5452132534.3453.1253511515
'huan'chong'zhuang'zhi	缓冲装置	553914.41802.412194.841227	551344311354.412512.412121413534.2522112251111
'huan'chong'chi	缓冲池	553914.41802.44525	551344311354.412512.441525
'huan'chong'ji'cun'qi	缓冲寄存器	553914.41802.461342.13258.808010	551344311354.412512.44513412512.132521.2512511344251251
'huan'chong'fang'da'qi	缓冲放大器	553914.41802.6090.134.808010	551344311354.412512.41533134.134.2512511344251251
'huan'chong'qi	缓冲器	553914.41802.808010	551344311354.412512.2512511344251251
'huan'chong'qi'suan'fa	缓冲器算法	553914.41802.808010.378212.441954	551344311354.412512.2512511344251251.31431425111132.44112154
'huan'chong'dian'chi'zu	缓冲电池组	553914.41802.815.44525.5527	551344311354.412512.25115.441525.55125111
'huan'bian'gou'dao	缓变沟道	553914.6654.443554.431384	551344311354.41223454.4413554.431325111454
'huan'bian'jie'jing'li	缓变结晶粒	553914.6654.551980.818181.6861	551344311354.41223454.551121251.251125112511.43123441431
'bian'ma	编码	554077.1450	551451325122.13251551
'bian'ma'xing'shi	编码形式	554077.1450.113233.112154	551451325122.13251551.1132333.112154
'bian'ma'zhi	编码值	554077.1450.321227	551451325122.13251551.3212251111
'bian'ma'bu	编码簿	554077.1450.374414	551451325122.13251551.3143144411251124124
'bian'ma'fa	编码法	554077.1450.441954	551451325122.13251551.44112154
'bian'ma'ding'li	编码定理	554077.1450.461214.118121	551451325122.13251551.44512134.11212511211
'bian'ma'zi'fu	编码字符	554077.1450.4658.373214	551451325122.13251551.445521.31431432124
'bian'ma'zi'fu'ji	编码字符集	554077.1450.4658.373214.324172	551451325122.13251551.445521.31431432124.324111211234
'bian'ma'fa'she'ji	编码发射机	554077.1450.53544.95124.1235	551451325122.13251551.53544.3251113124.123435
'bian'ma'fang'fa	编码方法	554077.1450.60.441954	551451325122.13251551.4153.44112154
'bian'ma'xiao'lv	编码效率	554077.1450.663490.415642	551451325122.13251551.4134343134.41554413412
'bian'ma'biao'shi	编码表示	554077.1450.713534.11234	551451325122.13251551.11213534.11234
'bian'ma'qi	编码器	554077.1450.808010	551451325122.13251551.2512511344251251
'bian'zhi	编址	554077.1921	551451325122.1212121
'bian'jie'ma'qi	编解码器	554077.355331.1450.808010	551451325122.3535112533112.13251551.2512511344251251
'bian'yi	编译	554077.405412	551451325122.4554112
'bian'yi'xing'yu'yan	编译型语言	554077.405412.113229.401250.40	551451325122.4554112.113222121.451251251.4111251
'bian'yi'ma'qi	编译码器	554077.405412.1450.808010	551451325122.4554112.13251551.2512511344251251
'bian'yi'xuan'xiang	编译选项	554077.405412.319354.121138	551451325122.4554112.312135454.121132534
'bian'yi'xi'tong	编译系统	554077.405412.356234.554155	551451325122.4554112.3554234.551415435
'bian'yi'can'shu	编译参数	554077.405412.541343.685990	551451325122.4554112.54134333.4312345313134
'bian'yi'lei'xing	编译类型	554077.405412.68134.113229	551451325122.4554112.431234134.113222121
'bian'yi'qi	编译器	554077.405412.808010	551451325122.4554112.2512511344251251
'bian'yi'shi'cuo'wu	编译时错误	554077.405412.81124.911881.408014	551451325122.4554112.2511124.3111512212511.452511134
'bian'yi'cheng'xu	编译程序	554077.405412.928011.4754	551451325122.4554112.312342511121.4135452
'bian'zhi'xing'shi	编织形式	554077.558034.113233.112154	551451325122.55125134.1132333.112154
'bian'zhi'ping'dai	编织平带	554077.558034.14312.122245	551451325122.55125134.14312.122245252
'bian'ji'guo'lv'lie'biao	编辑过滤列表	554077.778072.124454.448765.1322.713534	551451325122.1521251122111.124454.4412153154544.135422.11213534
'bian'ji'ye'mian	编辑页面	554077.778072.1328.132521	551451325122.1521251122111.132534.132522111
'bian'ji'ju'li	编辑距离	554077.778072.291515.413454	551451325122.1521251122111.25121211515.4134522554
'bian'ji'qi	编辑器	554077.778072.808010	551451325122.1521251122111.2512511344251251
'bian'ji'cheng'xu	编辑程序	554077.778072.928011.4754	551451325122.1521251122111.312342511121.4135452
'bian'cheng	编程	554077.928011	551451325122.312342511121
'bian'cheng'yu'yan	编程语言	554077.928011.401250.40	551451325122.312342511121.451251251.4111251
'tong'yi'jian'mo'yu'yan	统一建模语言	554155.1.011124.121784.401250.40	551415435.1.51111254.12341222511134.451251251.4111251
'tong'ji'tui'li	统计推理	554155.4012.103241.118121	551415435.4512.12132411121.11212511211
'tong'ji'mo'shi'shi'bie	统计模式识别	554155.4012.121784.112154.408034.805322	551415435.4512.12341222511134.112154.4525134.2515322
'tong'ji'mo'xing	统计模型	554155.4012.121784.113229	551415435.4512.12341222511134.113222121
'tong'ji'jian'yan	统计检验	554155.4012.123411.503411	551415435.4512.12343414431.5513414431
'tong'ji'bi'te'lv	统计比特率	554155.4012.1535.311914.415642	551415435.4512.1535.3121121124.41554413412
'tong'ji'ling'zhi'shi	统计零知识	554155.4012.163444.9480.408034	551415435.4512.1452444434454.31134251.4525134
'tong'ji'jia'she	统计假设	554155.4012.3207.403554	551415435.4512.32512115154.453554
'tong'ji'zhong'cai	统计仲裁	554155.4012.32802.121414	551415435.4512.322512.121413534534
'tong'ji'yu'yan'xue	统计语言学	554155.4012.401250.40.6458	551415435.4512.451251251.4111251.44345521
'tong'ji'jue'ce'li'lun	统计决策理论	554155.4012.415134.371254.118121.403435	551415435.4512.415134.314314125234.11212511211.453435
'tong'ji'jue'ce'fang'fa	统计决策方法	554155.4012.415134.371254.60.441954	551415435.4512.415134.314314125234.4153.44112154
'tong'ji'pan'jue	统计判决	554155.4012.43322.415134	551415435.4512.4311322.415134
'tong'ji'ce'shi'mo'xing	统计测试模型	554155.4012.442822.401124.121784.113229	551415435.4512.441253422.45112154.12341222511134.113222121
'tong'ji'rong'xu'qu'jian	统计容许区间	554155.4012.4693.403112.1345.4281	551415435.4512.4453434251.453112.1345.4252511
'tong'ji'rong'xu'xian	统计容许限	554155.4012.4693.403112.5203	551415435.4512.4453434251.453112.52511534
'tong'ji'tong'xin'li'lun	统计通信理论	554155.4012.542514.3240.118121.403435	551415435.4512.5425112454.324111251.11212511211.453435
'tong'ji'bian'ma	统计编码	554155.4012.554077.1450	551415435.4512.551451325122.13251551
'tong'ji'shu'ju'ku	统计数据库	554155.4012.685990.100710.4777	551415435.4512.4312345313134.12151312251.4131512
'tong'ji'shi'fen'fu'yong	统计时分复用	554155.4012.81124.3453.318190.35112	551415435.4512.2511124.3453.312511354.35112
'zong'he'cao'zuo'xi'tong	综合操作系统	554614.92.108082.323121.356234.554155	55144511234.341251.1212512512511234.3231211.3554234.551415435
'zong'he'shi'ye'li'bian'ju'qi	综合式液力变矩器	554614.92.112154.444134.53.6654.941515.808010	55144511234.341251.112154.44141323544.53.41223454.311341515.2512511344251251
'zong'he'ce'shi	综合测试	554614.92.442822.401124	55144511234.341251.441253422.45112154
'zong'he'ce'shi'xi'tong	综合测试系统	554614.92.442822.401124.356234.554155	55144511234.341251.441253422.45112154.3554234.551415435
'zong'he'wei'xing'xi'tong	综合卫星系统	554614.92.521.81371.356234.554155	55144511234.341251.521.251131121.3554234.551415435
'zong'he'kong'jing	综合孔径	554614.92.585.335411	55144511234.341251.5215.33254121
'zong'he'bian'ji'xiu'gai	综合编辑修改	554614.92.554077.778072.322903.51590	55144511234.341251.551451325122.1521251122111.322354333.5153134
'zong'he'shu'zi'wang	综合数字网	554614.92.685990.4658.253434	55144511234.341251.4312345313134.445521.253434
'zong'he'xian'shi	综合显示	554614.92.8122.11234	55144511234.341251.251122431.11234
'suo'zhi'hu'jiao	缩址呼叫	554631.1921.803432.8052	55144532132511.1212121.25134312.25152
'suo'xiao	缩小	554631.234	55144532132511.234
'suo'xiao'bi'li	缩小比例	554631.234.1535.321322	55144532132511.234.1535.32135422
'suo'shui'xian'ka	缩水显卡	554631.2534.8122.21124	55144532132511.2534.251122431.21124
'suo'wei'ping'pian	缩微平片	554631.332010.14312.3215	55144532132511.3322521353134.14312.3215
'suo'wei'jiao'pian	缩微胶片	554631.332010.366634.3215	55144532132511.3322521353134.3511413434.3215
'suo'wei'jiao'juan	缩微胶卷	554631.332010.366634.4355	55144532132511.3322521353134.3511413434.43113455
'suo'xie	缩写	554631.45151	55144532132511.45151
'suo'xie'chou'qu	缩写抽取	554631.45151.1083.7254	55144532132511.45151.12125121.12211154
'suo'xie'sheng'lue'yu	缩写省略语	554631.45151.234382.839080.401250	55144532132511.45151.234325111.25121354251.451251251
'suo'fang	缩放	554631.6090	55144532132511.41533134
'suo'fang'gong'ju	缩放工具	554631.6090.121.2734	55144532132511.41533134.121.25111134
'suo'fang'bi'li	缩放比例	554631.6090.1535.321322	55144532132511.41533134.1535.32135422
'suo'jin	缩进	554631.76454	55144532132511.1132454
'suo'duan'jian'kai'xian	缩短渐开线	554631.941801.447732.1132.551154	55144532132511.311341251431.44115213312.1132.55111534
'chan'rao'xing'shi	缠绕形式	554781.551535.113233.112154	5514132511211.551153135.1132333.112154
'jiu'tu'fa'cuo'wu'ma	纠突发错误码	5552.463414.53544.911881.408014.1450	55152.445341344.53544.3111512212511.452511134.13251551
'jiu'cuo	纠错	5552.911881	55152.3111512212511
'jiu'cuo'ma	纠错码	5552.911881.1450	55152.3111512212511.13251551
'jiu'cuo'li'cheng	纠错例程	5552.911881.321322.928011	55152.3111512212511.32135422.312342511121
'jiu'cuo'bian'ma	纠错编码	5552.911881.554077.1450	55152.3111512212511.551451325122.13251551
'jing'li'zhi'chi'xi'tong	经理支持系统	555411.118121.1254.101914.356234.554155	55154121.11212511211.1254.121121124.3554234.551415435
'jing'li'xin'xi'xi'tong	经理信息系统	555411.118121.3240.38265.356234.554155	55154121.11212511211.324111251.3251114544.3554234.551415435
'jing'dian'luo'ji	经典逻辑	555411.251714.849044.778072	55154121.25122134.25221354454.1521251122111
'jing'ji'mo'xing	经济模型	555411.446632.121784.113229	55154121.441413432.12341222511134.113222121
'jing'ji'ke'xing'xing	经济可行性	555411.446632.1802.33112.49371	55154121.441413432.12512.332112.44231121
'jing'ji'xin'xi'xi'tong	经济信息系统	555411.446632.3240.38265.356234.554155	55154121.441413432.324111251.3251114544.3554234.551415435
'jing'yan'xi'tong	经验系统	555411.503411.356234.554155	55154121.5513414431.3554234.551415435
'jing'yan'fa'ze	经验法则	555411.503411.441954.2822	55154121.5513414431.44112154.253422
'jing'pi'dian'ci'ji	经皮电刺激	555411.53254.815.125232.443810	55154121.53254.25115.12523422.4413251141533134
'jing'si	经丝	555411.55551	55154121.55551
'si'gang	丝杠	55551.12121	55551.1234121
'si'wang'yin'shua	丝网印刷	55551.253434.35152.072522	55551.253434.35152.51325222
'si'jing	丝径	55551.335411	55551.33254121
'si'zhuang'fu'shi	丝状腐蚀	55551.412134.473214.3026	55551.4121344.41332124253434.355251214
'wen'li	纹理	5566.118121	5514134.11212511211
'wen'li'tu'xiang	纹理图像	5566.118121.259041.323584	5514134.11212511211.25354441.3235251353334
'wen'li'tie'tu	纹理贴图	5566.118121.282180.259041	5514134.11212511211.253421251.25354441
'wen'li'hua	纹理化	5566.118121.3235	5514134.11212511211.3235
'wen'li'fen'xi	纹理分析	5566.118121.3453.123312	5514134.11212511211.3453.12343312
'wen'li'fen'ge	纹理分割	5566.118121.3453.467182	5514134.11212511211.3453.445111225122
'wen'li'bian'ma	纹理编码	5566.118121.554077.1450	5514134.11212511211.551451325122.13251551
'wen'li'ying'she	纹理映射	5566.118121.812514.95124	5514134.11212511211.251125134.3251113124
'wen'bo'dian'ya	纹波电压	5566.445324.815.13194	5514134.44153254.25115.131214
'wen'bo'dian'liu	纹波电流	5566.445324.815.444155	5514134.44153254.25115.4414154325
'jiao'kong	绞孔	556634.585	551413434.5215
'jiao'dao	绞刀	556634.53	551413434.53
'jiao'he'dao'xian	绞合导线	556634.92.515124.551154	551413434.341251.515124.55111534
'ji'cheng'fu'lei'cheng'yuan	继承父类成员	55685.581154.3434.68134.135534.8028	5514312345.52111534.3434.431234134.135534.2512534
'ji'cheng'wu'cha	继承误差	55685.581154.408014.43121	5514312345.52111534.452511134.431113121
'ji'dian'kong'zhi	继电控制	55685.815.104631.311252	5514312345.25115.12144534121.31125222
'ji'dian'qi	继电器	55685.815.808010	5514312345.25115.2512511344251251
'bang'ding	绑定	557352.461214	551111352.44512134
'bang'ding'yu'ming	绑定域名	557352.461214.191804.9080	551111352.44512134.12112511534.354251
'zhi'bu'ji	织布机	558034.1325.1235	55125134.13252.123435
'zhi'wen'xian'lu	织纹显露	558034.5566.8122.162990	55125134.5514134.251122431.145244442512121354251
'sheng'suo'qi'gang	绳索气缸	558085.124554.67.94121	55125125115.1245554234.3115.311252121
'xi'suo'yin	细索引	5583.124554.572	55125121.1245554234.5152
'xi'jie'ceng'ci	细节层次	5583.1752.071154.413534	55125121.12252.5131154.413534
'xi'dian'hua'xian	细点画线	5583.218069.18352.551154	55125121.212514444.12512152.55111534
'xi'hua	细化	5583.3235	55125121.3235
'xi'fen	细分	5583.3453	55125121.3453
'xi'bao'chi'cun	细胞尺寸	5583.363555.074.124	55125121.351135515.5134.124
'xi'bao'zi'dong'ji	细胞自动机	5583.363555.382.115453.1235	55125121.351135515.325111.115453.123435
'xi'shi'xian	细实线	5583.464414.551154	55125121.44544134.55111534
'xi'shuang'dian'hua'xian	细双点画线	5583.5454.218069.18352.551154	55125121.5454.212514444.12512152.55111534
'xi'xian'yi'tai'wang	细线以太网	5583.551154.5434.1344.253434	55125121.55111534.5434.1344.253434
'xi'li'du	细粒度	5583.6861.471854	55125121.43123441431.413122154
'xi'ya'luo'wen	细牙螺纹	5583.79.268354.5566	55125121.1523.25121425121554234.5514134
'xi'xu'xian	细虚线	5583.8722.551154	55125121.21531522431.55111534
'zhong'jie'qi	终接器	559044.106159.808010	55135444.12141431531.2512511344251251
'zhong'jian	终检	559044.123411	55135444.12343414431
'zhong'ji'fu	终极符	559044.12354.373214	55135444.1234354.31431432124
'zhong'zhi'xing'zheng'ming	终止性证明	559044.21.49371.40121.8136	55135444.2121.44231121.4512121.25113511
'zhong'zhi'nie'he'dian	终止啮合点	559044.21.8021.92.218069	55135444.2121.25121213452.341251.212514444
'zhong'dian'di'zhi	终点地址	559044.218069.19525.1921	55135444.212514444.121525.1212121
'zhong'dian'jian'ce	终点监测	559044.218069.223144.442822	55135444.212514444.2231425221.441253422
'zhong'jie'mo'xing	终结模型	559044.551980.121784.113229	55135444.551121251.12341222511134.113222121
'zhong'jie'zhe'mu'ma	终结者木马	559044.551980.19381.12.50	55135444.551121251.12132511.1234.551
'zhong'jie'fu	终结符	559044.551980.373214	55135444.551121251.31431432124
'zhong'jie'zhuang'tai	终结状态	559044.551980.412134.134465	55135444.551121251.4121344.13444544
'zhong'duan	终端	559044.612012	55135444.41431252132522
'zhong'duan'kong'zhi'xi'tong	终端控制系统	559044.612012.104631.311252.356234.554155	55135444.41431252132522.12144534121.31125222.3554234.551415435
'zhong'duan'shi'gong'lv'ji	终端式功率计	559044.612012.112154.12153.415642.4012	55135444.41431252132522.112154.12153.41554413412.4512
'zhong'duan'su'lv	终端速率	559044.612012.180234.415642	55135444.41431252132522.1251234454.41554413412
'zhong'duan'fu'er	终端伏尔	559044.612012.321344.35234	55135444.41431252132522.321344.35234
'zhong'duan'zuo'ye	终端作业	559044.612012.323121.22	55135444.41431252132522.3231211.22431
'zhong'duan'fang'zhen'ruan'jian	终端仿真软件	559044.612012.3260.122734.773534.3231	55135444.41431252132522.324153.1225111134.15213534.323112
'zhong'duan'yong'hu	终端用户	559044.612012.35112.407	55135444.41431252132522.35112.4513
'zhong'duan'she'bei	终端设备	559044.612012.403554.9083	55135444.41431252132522.453554.35425121
'zhong'duan'shuai'jian'qi	终端衰减器	559044.612012.412514.411314.808010	55135444.41431252132522.4125113534.41131251534.2512511344251251
'zhong'duan'xian'jia	终端线夹	559044.612012.551154.143134	55135444.41431252132522.55111534.143134
'zhong'duan'dian'ya	终端电压	559044.612012.815.13194	55135444.41431252132522.25115.131214
'zhong'shen'mian'fei	终身免费	559044.95.358035.573228	55135444.3251113.3525135.515322534
'feng'xi'tian'xian	缝隙天线	559074.522344.1134.551154	5513541112454.522342511234.1134.55111534
'feng'xi'fu'shi	缝隙腐蚀	559074.522344.473214.3026	5513541112454.522342511234.41332124253434.355251214
'feng'han'feng	缝焊缝	559074.698112.559074	5513541112454.43342511112.5513541112454
'luo'dan	络单	559080.438112	551354251.43251112
'luo'he'wu	络合物	559080.92.313533	551354251.341251.31213533
'huan'ying'hou'men	幻影后门	565.814123.33180.42	5545.251141251234333.331251.425
'gong'xing'ban'tan'huang	弓形板弹簧	57.113233.123354.574382.371884	515.1132333.12343354.51543251112.31431412212512134
'gong'du	弓度	57.471854	515.413122154
'deng'lu	登录	571801.012414	543341251431.51124134
'deng'lu'mo'shi	登录模式	571801.012414.121784.112154	543341251431.51124134.12341222511134.112154
'deng'lu'jiao'ben	登录脚本	571801.012414.361952.121	543341251431.51124134.35111215452.12341
'yin'zhi'diao'yong	引址调用	572.1921.403510.35112	5152.1212121.4535121251.35112
'yin'jie'ju	引介句	572.3432.3580	5152.3432.35251
'yin'yong'lei'xing	引用类型	572.35112.68134.113229	5152.35112.431234134.113222121
'yin'yong'ming	引用名	572.35112.9080	5152.35112.354251
'yin'jiao	引脚	572.361952	5152.35111215452
'yin'jiao'fen'pei	引脚分配	572.361952.3453.75515	5152.35111215452.3453.1253511515
'yin'jiao'zhen'lie'feng'zhuang	引脚阵列封装	572.361952.5277.1322.191914.412194	5152.35111215452.521512.135422.121121124.412121413534
'yin'dao'shi'gan'rao	引导式干扰	572.515124.112154.112.101354	5152.515124.112154.112.1211354
'yin'dao'xie'yi	引导协议	572.515124.125344.40434	5152.515124.125344.45434
'yin'dao'lei'da	引导雷达	572.515124.1683.134454	5152.515124.1452444425121.134454
'yin'dao'wang'guan'xie'yi	引导网关协议	572.515124.253434.4334.125344.40434	5152.515124.253434.431134.125344.45434
'yin'dao'zhuang'ru'cheng'xu	引导装入程序	572.515124.412194.34.928011.4754	5152.515124.412121413534.34.312342511121.4135452
'yin'dao'kou'ling	引导口令	572.515124.80.34454	5152.515124.251.34454
'yin'dao'cheng'xu	引导程序	572.515124.928011.4754	5152.515124.312342511121.4135452
'yin'xian'kuang'shi'jian'he	引线框式键合	572.551154.121115.112154.910114.92	5152.55111534.1234111215.112154.3111551111254.341251
'yin'xian'jian'he	引线键合	572.551154.910114.92	5152.55111534.3111551111254.341251
'yin'huo	引火	572.69	5152.4334
'yin'ran'ji	引燃极	572.699019.12354	5152.4334354413444444.1234354
'yin'ran'guan	引燃管	572.699019.374621	5152.4334354413444444.31431444525151
'yin'ran'shi'jian	引燃时间	572.699019.81124.4281	5152.4334354413444444.2511124.4252511
'yin'ran'dian'liu	引燃电流	572.699019.815.444155	5152.4334354413444444.25115.4414154325
'zhang'kai'xing'lie'wen	张开型裂纹	573154.1132.113229.132244.5566	5153154.1132.113222121.135422413534.5514134
'zhang'jin'li	张紧力	573154.225454.53	5153154.2254554234.53
'zhang'jin'lun	张紧轮	573154.225454.773435	5153154.2254554234.15213435
'zhang'jin'qi	张紧器	573154.225454.808010	5153154.2254554234.2512511344251251
'zhang'li'ji	张力计	573154.53.4012	5153154.53.4512
'zhang'chi'zhen'dong	张弛振动	573154.57525.101314.115453	5153154.515525.1211311534.115453
'zhang'chi'zhen'dang'qi	张弛振荡器	573154.57525.101314.174453.808010	5153154.515525.1211311534.122441533.2512511344251251
'zhang'liang'ci'dao'lv	张量磁导率	573154.811811.144316.515124.415642	5153154.251112511211.13251431554554.515124.41554413412
'fu'la'suo'fu'fang'cheng	弗拉索夫方程	5732.1061.124554.1134.60.928011	51532.12141431.1245554234.1134.4153.312342511121
'fei'yong'bi	费用比	573228.35112.1535	515322534.35112.1535
'fei'er'tuo'si'te	费尔托斯特	573228.35234.10315.703312.311914	515322534.35234.121315.122111343312.3121121124
'fei'ma'su'xing'jian'yan	费马素性检验	573228.50.715624.49371.123411.503411	515322534.551.1121554234.44231121.12343414431.5513414431
'fei'mi'shi	费米势	573228.68.103543	515322534.431234.12135453
'hu'mian'fen'du'tu'lun'ji'gou	弧面分度凸轮机构	573354.132521.3453.471854.21251.773435.1235.123554	51533544.132522111.3453.413122154.21251.15213435.123435.12343554
'hu'chi'zhui'chi'lun	弧齿锥齿轮	573354.21.913241.21.773435	51533544.21213452.3111532411121.21213452.15213435
'hu'guang'fang'dian	弧光放电	573354.24135.6090.815	51533544.243135.41533134.25115
'hu'guang'fang'dian'guan	弧光放电管	573354.24135.6090.815.374621	51533544.243135.41533134.25115.31431444525151
'hu'gao	弧高	573354.412580	51533544.4125125251
'ruo'yi'zhi'xing'mo'xing	弱一致性模型	574151.1.154190.49371.121784.113229	5154151541.1.1541213134.44231121.12341222511134.113222121
'ruo'hua'dong'ci	弱化动词	574151.3235.115453.405180	5154151541.3235.115453.4551251
'ruo'wei	弱位	574151.3261	5154151541.3241431
'ruo'zhi'gu'zhang	弱质故障	574151.331228.128090.526182	5154151541.33122534.122513134.5241431251112
'ruo'zhi'shi'xiao	弱质失效	574151.331228.31134.663490	5154151541.33122534.31134.4134343134
'ruo'liu'dian'zi'guang'xue	弱流电子光学	574151.444155.815.58.24135.6458	5154151541.4414154325.25115.521.243135.44345521
'ruo'mi'yue	弱密钥	574151.466520.9136	5154151541.44545434252.311153511
'ruo'lian'tong'tu	弱连通图	574151.77454.542514.259041	5154151541.1512454.5425112454.25354441
'ruo'dian'liu	弱电流	574151.815.444155	5154151541.25115.4414154325
'xian'chi'gao	弦齿高	574156.21.412580	51541554.21213452.4125125251
'xian'chang	弦长	574156.3154	51541554.3154
'tan'chu'tuo'pan'cai'dan	弹出托盘菜单	574382.02.10315.9384.173912.438112	51543251112.52252.121315.33541425221.12234431234.43251112
'tan'chu'shi'cai'dan	弹出式菜单	574382.02.112154.173912.438112	51543251112.52252.112154.12234431234.43251112
'tan'chu'shi'xuan'dan	弹出式选单	574382.02.112154.319354.438112	51543251112.52252.112154.312135454.43251112
'tan'chu'chuang'kou'guo'lv	弹出窗口过滤	574382.02.463431.80.124454.448765	51543251112.52252.445343253541.251.124454.4412153154544
'tan'huang	弹簧	574382.371884	51543251112.31431412212512134
'tan'huang'dian'quan	弹簧垫圈	574382.371884.103549.254351	51543251112.31431412212512134.121354121.25431134551
'tan'huang'ya'qiang	弹簧压强	574382.371884.13194.578026	51543251112.31431412212512134.131214.515251251214
'tan'huang'nei'zhi'shi'ji'xie'mi'feng	弹簧内置式机械密封	574382.371884.2534.841227.112154.1235.121134.466520.191914	51543251112.31431412212512134.2534.2522112251111.112154.123435.12341132534.44545434252.121121124
'tan'huang'gang'du	弹簧刚度	574382.371884.253422.471854	51543251112.31431412212512134.253422.413122154
'tan'huang'te'xing	弹簧特性	574382.371884.311914.49371	51543251112.31431412212512134.3121121124.44231121
'tan'huang'gu	弹簧箍	574382.371884.371015	51543251112.31431412212512134.31431412112525
'tan'huang'zuo	弹簧座	574382.371884.473439	51543251112.31431412212512134.4133434121
'tan'huang'rou'du	弹簧柔度	574382.371884.54312.471854	51543251112.31431412212512134.545231234.413122154
'tan'huang'xuan'zhuan'shi'ji'xie'mi'feng	弹簧旋转式机械密封	574382.371884.603108.771154.112154.1235.121134.466520.191914	51543251112.31431412212512134.41533152134.15211154.112154.123435.12341132534.44545434252.121121124
'tan'huang'jing'zhi'shi'ji'xie'mi'feng	弹簧静止式机械密封	574382.371884.712512.21.112154.1235.121134.466520.191914	51543251112.31431412212512134.11212511355112.2121.112154.123435.12341132534.44545434252.121121124
'tan'huang'zhong'jing	弹簧中径	574382.371884.802.335411	51543251112.31431412212512134.2512.33254121
'tan'huang'wai'zhi'shi'ji'xie'mi'feng	弹簧外置式机械密封	574382.371884.9024.841227.112154.1235.121134.466520.191914	51543251112.31431412212512134.35424.2522112251111.112154.123435.12341132534.44545434252.121121124
'dan'dao'jing'ti'guan	弹道晶体管	574382.431384.818181.32121.374621	51543251112.431325111454.251125112511.3212341.31431444525151
'tan'su'xing'duan'lie'li'xue'fen'xi	弹塑性断裂力学分析	574382.431529.49371.685332.132244.53.6458.3453.123312	51543251112.4315233511121.44231121.43123453312.135422413534.53.44345521.3453.12343312
'tan'chuang	弹窗	574382.463431	51543251112.445343253541
'tan'xing'dang'quan	弹性挡圈	574382.49371.102401.254351	51543251112.44231121.121243511.25431134551
'tan'xing'dian'quan	弹性垫圈	574382.49371.103549.254351	51543251112.44231121.121354121.25431134551
'tan'xing'dong'li'xue'fen'xi	弹性动力学分析	574382.49371.115453.53.6458.3453.123312	51543251112.44231121.115453.53.44345521.3453.12343312
'tan'xing'gou'jian	弹性构件	574382.49371.123554.3231	51543251112.44231121.12343554.323112
'tan'xing'zhu'xiao'chi'shi'lian'zhou'qi	弹性柱销齿式联轴器	574382.49371.12411.912421.21.112154.724334.7783.808010	51543251112.44231121.123441121.311152432511.21213452.112154.122111431134.152125121.2512511344251251
'tan'xing'zhu'xiao'lian'zhou'qi	弹性柱销联轴器	574382.49371.12411.912421.724334.7783.808010	51543251112.44231121.123441121.311152432511.122111431134.152125121.2512511344251251
'tan'xing'zhi'cheng	弹性支承	574382.49371.1254.581154	51543251112.44231121.1254.52111534
'tan'xing'tao'zhu'xiao'lian'zhou'qi	弹性套柱销联轴器	574382.49371.13478.12411.912421.724334.7783.808010	51543251112.44231121.1341211154.123441121.311152432511.122111431134.152125121.2512511344251251
'tan'xing'peng'zhuang	弹性碰撞	574382.49371.144312.106181	51543251112.44231121.1325143122431.121414312511211
'tan'xing'yuan'zhu'xiao	弹性圆柱销	574382.49371.258021.12411.912421	51543251112.44231121.2525125341.123441121.311152432511
'tan'xing'luo'shuan	弹性螺栓	574382.49371.268354.123411	51543251112.44231121.25121425121554234.1234341121
'tan'xing'shun'fu'chang'liang	弹性顺服常量	574382.49371.322138.365254.248025.811811	51543251112.44231121.322132534.35115254.24345251252.251112511211
'tan'xing'li'he'qi	弹性离合器	574382.49371.413454.92.808010	51543251112.44231121.4134522554.341251.2512511344251251
'tan'xing'liu'ti'dong'li'run'hua	弹性流体动力润滑	574382.49371.444155.32121.115453.53.444211.4485	51543251112.44231121.4414154325.3212341.115453.53.4414251121.441255452511
'tan'xing'hua'dong	弹性滑动	574382.49371.4485.115453	51543251112.44231121.441255452511.115453
